id;nom;adresse;telephone
1;invoice Outdoors New York;multi-byte Jamaican Dollar North Carolina;
2;teal analyzing yellow;Books Generic;
3;Rupiah Personal Loan Account HTTP;schemas Specialist China;
4;Infrastructure SSL bandwidth;application Configurable iterate;
5;Fantastic time-frame Quality;Borders Borders Practical;
6;Wooden Optimization Associate;Austria mindshare EXE;
7;Practical Algerian Dinar Fantastic Fresh Salad;Steel Avon Visionary;
8;Sleek navigate Oklahoma;Triple-buffered array;
9;synthesize Idaho Markets;Glen Refined;
10;Agent Gorgeous Rubber Chicken Associate;Tuna magenta;
