id;nom;adresse;telephone
1;mobile Fish;Home Loan Account Table Computer;"  "
2;parsing red Chips;Money Market Account;"0791293356"
3;Licensed Savings Account;Cambridgeshire Mississippi;"0840407304"
4;cross-platform access;Public-key;"0346247622"
5;Tuna;hardware Costa Rica Mayotte;"0824507913"
6;National Awesome sky blue;Tactics;"0893326748"
7;Small;deliverables reinvent 24 hour;"0201029090"
8;deposit Internal;Investment Account archive Fantastic Plastic Chicken;"0022050868"
9;bus synthesize Idaho;Networked Sleek Metal Table Small;" "
10;relationships override;Brand;" "
