id;nom;adresse;telephone
1;mobile Fish;Home Loan Account Table Computer;"0144544139"
2;parsing red Chips;Money Market Account;"0582641868"
3;Licensed Savings Account;Cambridgeshire Mississippi;" "
4;cross-platform access;Public-key;""
5;Tuna;hardware Costa Rica Mayotte;"0921835038"
6;National Awesome sky blue;Tactics;"0600908621"
7;Small;deliverables reinvent 24 hour;"0701143086"
8;deposit Internal;Investment Account archive Fantastic Plastic Chicken;"0657055532"
9;bus synthesize Idaho;Networked Sleek Metal Table Small;"0652483551"
10;relationships override;Brand;"0797632928"
